204,0,70
157,4,223
195,8,223
12,12,183
59,16,105
39,20,179
142,24,94
174,28,111
40,32,88
209,36,105
254,40,175
240,44,105
225,48,174
243,52,239
215,56,40
161,60,60
34,64,35
200,68,139
71,72,85
192,76,93
36,80,226
91,84,95
193,88,112
178,92,117
131,96,212
46,100,191
96,104,4
28,108,249
8,112,2
244,116,217
97,120,159
138,124,164
36,128,135
114,132,91
211,136,134
55,140,41
131,144,159
68,148,86
178,152,248
117,156,115
54,160,44
195,164,162
224,168,242
251,172,157
198,176,102
238,180,33
53,184,190
222,188,219
67,192,220
157,196,210
104,200,229
107,204,131
150,208,146
55,212,4
26,216,122
127,220,169
119,224,53
179,228,84
242,232,35
222,236,204
52,240,249
23,244,46
46,248,105
110,252,66
140,256,207
207,260,249
253,264,78
192,268,1
200,272,158
209,276,19
176,280,15
2,284,224
32,288,6
125,292,48
153,296,105
149,300,115
244,304,253
26,308,112
232,312,138
89,316,189
106,320,69
20,324,205
53,328,131
241,332,12
50,336,129
146,340,242
245,344,151
148,348,226
95,352,124
116,356,245
158,360,67
115,364,35
15,368,48
247,372,234
96,376,185
103,380,21
93,384,176
81,388,126
148,392,202
254,396,225
137,400,223
90,404,99
59,408,69
46,412,70
134,416,116
59,420,111
237,424,134
143,428,49
199,432,182
55,436,116
128,440,238
246,444,97
76,448,161
250,452,109
157,456,92
167,460,55
219,464,248
255,468,194
248,472,149
251,476,20
135,480,76
108,484,240
247,488,91
137,492,182
83,496,97
77,500,76
97,504,39
174,508,135
57,512,143
189,516,218
45,520,129
104,524,121
231,528,29
14,532,196
5,536,15
125,540,205
186,544,163
20,548,63
9,552,19
124,556,122
236,560,126
9,564,126
254,568,106
165,572,233
133,576,198
123,580,168
177,584,185
5,588,97
201,592,102
240,596,170
172,600,230
126,604,245
124,608,7
196,612,241
85,616,5
88,620,80
145,624,66
173,628,227
242,632,110
22,636,112
177,640,78
59,644,51
87,648,5
204,652,230
148,656,62
0,660,43
231,664,170
162,668,128
12,672,235
190,676,225
173,680,217
136,684,157
6,688,30
123,692,22
42,696,43
117,700,35
189,704,18
79,708,181
254,712,224
118,716,126
12,720,170
54,724,126
3,728,40
18,732,162
78,736,28
174,740,32
52,744,81
90,748,215
217,752,80
95,756,119
90,760,114
250,764,168
30,768,160
129,772,113
194,776,11
88,780,35
69,784,131
90,788,99
177,792,70
165,796,185
138,800,67
23,804,11
151,808,140
12,812,160
241,816,65
163,820,205
92,824,142
68,828,195
15,832,253
181,836,223
111,840,82
19,844,26
89,848,63
201,852,228
232,856,230
248,860,36
37,864,3
24,868,73
149,872,217
40,876,154
204,880,239
85,884,140
176,888,198
155,892,69
19,896,166
33,900,234
41,904,31
87,908,232
79,912,186
14,916,19
248,920,57
40,924,128
156,928,250
227,932,39
7,936,102
29,940,172
15,944,24
147,948,208
155,952,55
249,956,157
167,960,43
69,964,143
175,968,141
50,972,8
8,976,65
172,980,235
55,984,222
207,988,226
170,992,76
191,996,140
236,1000,204
170,1004,80
114,1008,187
189,1012,102
206,1016,173
243,1020,18
42,1024,138
8,1028,8
